"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH","meanHrlyRH"
"1",1301,"2015-01-01",38.415,51.984,14.254,79.642,41.5707291666667
"2",1301,"2015-01-02",NA,NA,NA,NA,NA
"3",1301,"2015-01-03",2.503,11.029,55.864,90.361,75.4785625
"4",1301,"2015-01-04",3.722,12.654,48.33,84.136,69.2528333333333
"5",1301,"2015-01-05",6.509,15.342,49.237,80.99,67.2128125
"6",1301,"2015-01-06",8.444,19.08,32.921,68.826,46.9880625
"7",1301,"2015-01-07",12.437,21.748,31.556,60.923,38.4889583333333
"8",1301,"2015-01-08",10.467,18.343,45.071,76.027,61.4238333333333
"9",1301,"2015-01-09",9.657,18.604,48.927,84.095,69.8237291666667
"10",1301,"2015-01-10",7.318,15.915,62.661,97.916,83.7748958333333
"11",1301,"2015-01-11",6.813,14.625,66.49,98.785,86.433625
"12",1301,"2015-01-12",8.095,16.058,59.456,90.47,79.9416875
"13",1301,"2015-01-13",8.469,17.701,38.762,89.831,55.1803958333333
"14",1301,"2015-01-14",6.56,14.84,52.82,97.018,70.8975833333333
"15",1301,"2015-01-15",7.845,13.449,65.727,92.507,78.5919583333333
"16",1301,"2015-01-16",7.87,11.807,77.889,100,95.1952083333333
"17",1301,"2015-01-17",10.075,13.714,99.23,100,99.9589791666667
"18",1301,"2015-01-18",9.903,15.414,95.008,100,99.3521875
"19",1301,"2015-01-19",7.619,15.366,71.135,100,93.7064166666667
"20",1301,"2015-01-20",6.99,14.792,63.018,100,86.1132083333333
"21",1301,"2015-01-21",7.217,16.487,44.834,94.049,67.2229166666667
"22",1301,"2015-01-22",5.591,15.676,52.728,98.157,82.6149583333333
"23",1301,"2015-01-23",9.854,20.793,27.509,79.34,47.8219166666667
"24",1301,"2015-01-24",13.353,24.798,27.564,60.393,39.7584166666667
"25",1301,"2015-01-25",8.319,23.136,34.056,82.503,61.3805833333333
"26",1301,"2015-01-26",11.224,19.508,48.802,82.219,64.1170416666667
"27",1301,"2015-01-27",10.736,15.652,68.328,86.508,77.9264791666667
"28",1301,"2015-01-28",9.213,18.152,51.551,87.531,73.7305625
"29",1301,"2015-01-29",9.163,19.341,43.27,84.206,65.0758541666667
"30",1301,"2015-01-30",9.509,19.936,28.75,83.417,60.4185
"31",1301,"2015-01-31",12.968,22.609,16.316,50.867,26.9509791666667
"32",1301,"2015-02-01",10.516,19.08,36.245,80.015,52.5277083333333
"33",1301,"2015-02-02",9.854,19.579,56.11,98.426,77.8971041666667
"34",1301,"2015-02-03",10.834,19.984,61.665,97.732,83.7303541666667
"35",1301,"2015-02-04",8.891,18.485,55.088,97.543,84.3578541666667
"36",1301,"2015-02-05",9.854,14.888,75.892,93.664,87.65825
"37",1301,"2015-02-06",11.492,14.266,87.539,100,96.9190625
"38",1301,"2015-02-07",11.71,16.225,85.645,100,97.3354166666667
"39",1301,"2015-02-08",11.492,14.888,88.782,100,97.5903541666667
"40",1301,"2015-02-09",8.295,14.529,73.563,100,93.64325
"41",1301,"2015-02-10",6.23,15.939,52.478,98.984,80.6701041666667
"42",1301,"2015-02-11",9.015,19.151,39.597,84.262,62.8693541666667
"43",1301,"2015-02-12",10.124,21.056,35.569,87.422,59.0601458333333
"44",1301,"2015-02-13",11.516,21.772,38.001,79.925,58.8625208333333
"45",1301,"2015-02-14",11.492,22.465,41.167,81.521,64.5113125
"46",1301,"2015-02-15",12.509,22.944,31.766,81.224,57.2790208333333
"47",1301,"2015-02-16",10.394,22.178,37.08,95.423,67.5483958333333
"48",1301,"2015-02-17",7.142,10.394,93.631,100,99.163
"49",1301,"2015-02-18",8.99,15.652,77.824,100,94.706125
"50",1301,"2015-02-19",7.569,17.677,76.569,100,94.3093333333333
"51",1301,"2015-02-20",7.67,18.889,47.494,100,83.9989166666667
"52",1301,"2015-02-21",8.568,19.579,33.407,93.295,56.588625
"53",1301,"2015-02-22",9.064,15.724,24.103,42.908,33.1878541666667
"54",1301,"2015-02-23",7.895,13.401,17.259,30.441,22.0122083333333
"55",1301,"2015-02-24",7.995,18.057,18.294,76.107,35.2448125
"56",1301,"2015-02-25",6.204,18.319,32.06,82.305,61.7242916666667
"57",1301,"2015-02-26",9.854,19.318,44.175,87.011,65.1819791666667
"58",1301,"2015-02-27",6.585,14.625,59.532,96.646,79.2470208333333
"59",1301,"2015-02-28",4.35,14.337,47.219,97.527,77.6011458333333
"60",1301,"2015-03-01",5.565,17.201,32.829,80.606,58.2913958333333
"61",1301,"2015-03-02",6.102,13.834,56.871,97.399,78.1907708333333
"62",1301,"2015-03-03",6.636,16.415,49.997,85.297,70.3814791666667
"63",1301,"2015-03-04",6.611,17.748,35.903,81.427,56.2191041666667
"64",1301,"2015-03-05",8.394,19.46,29.889,67.895,52.7412708333333
"65",1301,"2015-03-06",8.469,20.889,30.068,71.235,55.1764791666667
"66",1301,"2015-03-07",10.785,23.256,34.458,68.788,47.4543958333333
"67",1301,"2015-03-08",9.706,22.178,43.549,84.84,62.9011739130435
"68",1301,"2015-03-09",7.444,21.413,48.609,98.192,72.8805416666667
"69",1301,"2015-03-10",9.829,20.793,55.718,98.05,74.5531041666667
"70",1301,"2015-03-11",9.213,15.294,68.434,99.485,88.9427291666667
"71",1301,"2015-03-12",8.568,21.772,42.712,100,76.0498541666667
"72",1301,"2015-03-13",11.929,22.753,45.798,89.196,70.4524583333333
"73",1301,"2015-03-14",13.69,25.55,34.313,78.605,63.23925
"74",1301,"2015-03-15",11.613,17.51,46.116,81.038,63.1679791666667
"75",1301,"2015-03-16",11.54,17.486,63.307,91.679,78.7670833333333
"76",1301,"2015-03-17",7.745,19.627,44.36,98.023,75.0633333333333
"77",1301,"2015-03-18",7.97,21.056,42.42,87.235,64.4491875
"78",1301,"2015-03-19",10.883,24.46,36.074,77.95,56.9236875
"79",1301,"2015-03-20",9.928,20.103,35.125,82.907,61.1184375
"80",1301,"2015-03-21",9.46,20.031,48.19,97.538,76.2777916666667
"81",1301,"2015-03-22",9.386,17.058,59.294,99.991,86.4815625
"82",1301,"2015-03-23",7.368,14.673,59.581,100,81.5912916666667
"83",1301,"2015-03-24",7.217,16.844,63.822,100,85.674375
"84",1301,"2015-03-25",8.767,22.753,44.706,94.526,72.6160833333333
"85",1301,"2015-03-26",12.461,26.451,39.42,87.375,64.8351875
"86",1301,"2015-03-27",11.102,21.987,53.338,88.003,74.1443958333333
"87",1301,"2015-03-28",8.891,25.21,24.832,94.266,58.8234791666667
"88",1301,"2015-03-29",8.742,24.895,32.461,82.394,54.9284166666667
"89",1301,"2015-03-30",10.418,23.28,45.632,80.478,62.0840833333333
"90",1301,"2015-03-31",8.145,18.509,30.002,89.304,63.0795
"91",1301,"2015-04-01",6,17.938,33.129,72.156,56.2333541666667
"92",1301,"2015-04-02",5.796,19.96,18.723,72.623,47.08125
"93",1301,"2015-04-03",6.914,21.079,28.169,73.068,52.5294791666667
"94",1301,"2015-04-04",5.231,17.32,29.225,83.908,60.8807291666667
"95",1301,"2015-04-05",3.274,12.05,57.274,96.549,81.9286041666667
"96",1301,"2015-04-06",3.089,13.353,57.807,97.308,80.9714375
"97",1301,"2015-04-07",4.35,11.297,75.718,100,95.5374166666667
"98",1301,"2015-04-08",3.009,15.461,51.796,100,84.2007708333333
"99",1301,"2015-04-09",5.668,18.152,54.936,99.464,76.957125
"100",1301,"2015-04-10",6.839,19.175,30.016,88.072,58.9610416666667
"101",1301,"2015-04-11",9.312,20.412,44.785,85.646,57.7517708333333
"102",1301,"2015-04-12",8.394,23.809,38.65,95.994,66.1185833333333
"103",1301,"2015-04-13",6.458,19.294,54.997,92.145,74.4261875
"104",1301,"2015-04-14",4.246,16.963,30.937,78.225,56.3647708333333
"105",1301,"2015-04-15",7.795,22.585,18.816,66.38,32.1371458333333
"106",1301,"2015-04-16",12.968,25.987,16.202,42.195,28.7445833333333
"107",1301,"2015-04-17",11.516,24.871,28.787,62.399,44.6546458333333
"108",1301,"2015-04-18",7.87,23.713,44.632,87.681,66.4090833333333
