"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH"
"108",1302,"2013-09-09",67.372,95.567,21.785,47.362
"109",1302,"2013-09-10",52.947,70.329,48.185,100
"110",1302,"2013-09-11",56.815,63.903,83.41,100
"111",1302,"2013-09-12",56.988,79.392,53.178,100
"112",1302,"2013-09-13",53.427,82.353,38.779,99.49
"113",1302,"2013-09-14",51.062,80.978,43.938,97.464
"114",1302,"2013-09-15",50.311,78.865,45.88,100
"115",1302,"2013-09-16",52.203,82.976,37.671,100
"116",1302,"2013-09-17",53.733,76.332,39.247,91.009
"117",1302,"2013-09-18",53.253,83.242,24.381,78.698
"118",1302,"2013-09-19",56.988,87.028,17.501,61.414
"119",1302,"2013-09-20",53.645,74.683,53.027,100
"120",1302,"2013-09-21",53.035,64.459,65.864,100
"121",1302,"2013-09-22",49.204,72.437,37.067,99.752
"122",1302,"2013-09-23",53.253,81.244,38.965,89.009
"123",1302,"2013-09-24",53.602,74.034,37.913,80.053
"124",1302,"2013-09-25",49.249,68.871,32.579,88.957
"125",1302,"2013-09-26",45.714,74.683,23.489,78.155
"126",1302,"2013-09-27",53.69,78.602,19.765,59.084
"127",1302,"2013-09-28",54.169,79.173,19.54,92.705
"128",1302,"2013-09-29",52.335,67.242,79.975,100
"129",1302,"2013-09-30",51.148,66.515,87.741,100
"130",1302,"2013-10-01",46.121,73.558,37.223,100
"131",1302,"2013-10-02",49.116,74.597,28.534,87.635
"132",1302,"2013-10-03",46.796,71.06,17.353,70.528
"133",1302,"2013-10-04",59.315,77.639,12.522,27.614
"134",1302,"2013-10-05",61.547,83.601,12.868,31.99
"135",1302,"2013-10-06",60.132,81.775,16.483,32.43
"136",1302,"2013-10-07",58.541,80.625,14.752,56.153
"137",1302,"2013-10-08",50.621,75.463,27.08,79.152
"138",1302,"2013-10-09",47.064,71.231,26.597,80.909
"139",1302,"2013-10-10",50.797,70.673,35.908,74.728
"140",1302,"2013-10-11",44.31,67.413,44.856,93.379
"141",1302,"2013-10-12",47.826,69.814,41.465,83.271
"142",1302,"2013-10-13",48.137,73.472,23.357,84.929
"143",1302,"2013-10-14",53.776,77.727,20.017,51.015
"144",1302,"2013-10-15",56.599,81.111,11.547,42.307
"145",1302,"2013-10-16",57.031,79.7,18.205,34.407
"146",1302,"2013-10-17",56.035,80.316,17.966,38.581
"147",1302,"2013-10-18",54.691,79.216,24.096,45.069
"148",1302,"2013-10-19",57.074,82.708,20.047,48.098
"149",1302,"2013-10-20",57.333,79.173,24.94,51.826
"150",1302,"2013-10-21",53.166,74.077,38.644,66.295
"151",1302,"2013-10-22",52.817,79.216,30.842,74.66
"152",1302,"2013-10-23",48.938,77.639,30.288,79.623
"153",1302,"2013-10-24",43.03,64.117,55.854,100
"154",1302,"2013-10-25",43.808,70.158,45.806,100
"155",1302,"2013-10-26",53.341,79.831,25.692,75.827
"156",1302,"2013-10-27",43.716,61.59,50.895,92.394
"157",1302,"2013-10-28",43.945,62.661,41.912,89.18
"158",1302,"2013-10-29",41.416,61.804,56.38,99.845
"159",1302,"2013-10-30",44.218,64.845,47.341,92.224
"160",1302,"2013-10-31",47.871,72.05,37.045,80.174
"161",1302,"2013-11-01",54.82,75.681,34.307,63.843
"162",1302,"2013-11-02",50.223,71.017,31.775,68.873
"163",1302,"2013-11-03",42.478,60.861,30.409,74.228
"164",1302,"2013-11-04",41.137,66.943,17.829,76.962
"165",1302,"2013-11-05",46.931,72.394,25.416,58.542
"166",1302,"2013-11-06",53.951,74.12,31.716,51.618
"167",1302,"2013-11-07",NA,NA,NA,NA
"168",1302,"2013-11-08",10.001,22.226,30.967,89.738
"169",1302,"2013-11-09",9.163,22.25,34.095,70.807
"170",1302,"2013-11-10",7.116,17.891,52.467,98.921
"171",1302,"2013-11-11",6.382,18.842,53.242,100
"172",1302,"2013-11-12",12.147,21.079,34.889,74.667
"173",1302,"2013-11-13",11.88,24.702,37.241,75.741
"174",1302,"2013-11-14",10.051,17.32,46.715,84.737
"175",1302,"2013-11-15",6.357,18.152,31.914,78.873
"176",1302,"2013-11-16",5.693,17.13,47.638,91.02
"177",1302,"2013-11-17",5.257,15.103,65.524,99.534
"178",1302,"2013-11-18",6.357,11.759,73.003,98.111
"179",1302,"2013-11-19",8.27,11.516,98.697,100
"180",1302,"2013-11-20",9.41,12.461,100,100
"181",1302,"2013-11-21",7.116,14.17,19.64,100
"182",1302,"2013-11-22",10.858,20.007,8.077,20.313
"183",1302,"2013-11-23",7.995,18.961,12.82,44.241
"184",1302,"2013-11-24",6.051,16.963,37.428,81.651
"185",1302,"2013-11-25",6.661,16.32,47.4,73.975
"186",1302,"2013-11-26",7.368,15.963,42.472,75.636
"187",1302,"2013-11-27",10.834,17.011,42.502,57.882
"188",1302,"2013-11-28",10.198,19.746,37.017,68.645
"189",1302,"2013-11-29",9.509,19.46,41.725,74.408
"190",1302,"2013-11-30",9.829,19.27,42.859,73.16
"191",1302,"2013-12-01",10.516,20.174,42.545,80.352
"192",1302,"2013-12-02",8.12,15.796,59.414,97.123
"193",1302,"2013-12-03",2.823,11.467,36.905,98.233
"194",1302,"2013-12-04",0.218,9.114,29.44,78.023
"195",1302,"2013-12-05",0.051,7.97,27.409,79.016
"196",1302,"2013-12-06",-1.871,6.509,44.684,100
"197",1302,"2013-12-07",-1.413,5.024,52.344,100
"198",1302,"2013-12-08",-1.814,5.514,26.178,82.888
"199",1302,"2013-12-09",-1.185,9.064,27.47,68.029
"200",1302,"2013-12-10",1.044,11.321,31.567,66.179
"201",1302,"2013-12-11",3.617,13.353,38.264,61.063
"202",1302,"2013-12-12",5.565,13.738,34.289,63.424
"203",1302,"2013-12-13",3.142,15.27,33.749,72.291
"204",1302,"2013-12-14",7.192,16.987,36.433,73.311
"205",1302,"2013-12-15",6.661,17.415,36.914,73.896
"206",1302,"2013-12-16",9.015,19.484,26.675,52.72
"207",1302,"2013-12-17",10.394,19.246,25.918,52.346
"208",1302,"2013-12-18",7.217,14.457,40.662,75.934
"209",1302,"2013-12-19",4.558,12.823,19.513,79.131
"210",1302,"2013-12-20",4.324,16.511,18.107,64.272
"211",1302,"2013-12-21",7.116,17.249,50.619,93.269
"212",1302,"2013-12-22",9.064,19.175,39.457,68.676
"213",1302,"2013-12-23",8.469,18.557,40.562,71.405
"214",1302,"2013-12-24",9.46,20.126,38.176,71.683
"215",1302,"2013-12-25",8.767,19.032,28.217,74.63
"216",1302,"2013-12-26",10.075,20.555,26.358,50.944
"217",1302,"2013-12-27",6.484,16.058,25.607,55.606
"218",1302,"2013-12-28",6.763,20.793,15.337,52.272
"219",1302,"2013-12-29",8.618,18.366,13.154,44.124
"220",1302,"2013-12-30",7.268,16.701,24.805,60.13
"221",1302,"2013-12-31",6.864,15.629,36.087,60.034
"222",1308,"2013-05-25",7.444,25.21,28.316,85.176
"223",1308,"2013-05-26",10.687,24.944,31.737,91.455
"224",1308,"2013-05-27",9.509,17.201,67.481,99.619
"225",1308,"2013-05-28",12.461,24.992,47.683,100
"226",1308,"2013-05-29",12.63,26.916,28.276,87.398
"227",1308,"2013-05-30",8.841,28.891,19.733,87.708
"228",1308,"2013-05-31",10.98,34.15,18.48,77.449
"229",1308,"2013-06-01",14.122,34.757,23.748,62.503
"230",1308,"2013-06-02",13.906,32.304,25.621,75.555
"231",1308,"2013-06-03",9.756,22.8,48.945,93.759
"232",1308,"2013-06-04",10.001,21.294,54.005,93.007
"233",1308,"2013-06-05",11.029,25.89,45.182,96.73
"234",1308,"2013-06-06",10.1,28.766,41.684,97.78
"235",1308,"2013-06-07",9.46,37.7,25.146,98.829
"236",1308,"2013-06-08",13.016,38.728,27.766,87.879
"237",1308,"2013-06-09",13.016,20.674,60.221,89.313
"238",1308,"2013-06-10",12.292,15.247,88.29,99.653
"239",1308,"2013-06-11",9.854,26.867,48.564,100
"240",1308,"2013-06-12",9.583,29.59,23.76,85.946
"241",1308,"2013-06-13",NA,NA,NA,NA
"242",1308,"2013-06-14",54.604,91.776,14.944,72.75
"243",1308,"2013-06-15",47.064,87.436,30.369,95.435
"244",1308,"2013-06-16",47.334,89.132,17.94,94.609
"245",1308,"2013-06-17",50.929,86.437,28.611,82.945
"246",1308,"2013-06-18",50.797,76.854,27.305,88.146
"247",1308,"2013-06-19",47.959,79.524,28.368,89.071
"248",1308,"2013-06-20",50.664,86.029,17.809,80.512
"249",1308,"2013-06-21",53.82,89.915,15.57,70.744
"250",1308,"2013-06-22",56.728,93.848,18.732,64.26
"251",1308,"2013-06-23",56.815,73.472,60.839,90.981
"252",1308,"2013-06-24",55.949,61.462,83.84,100
"253",1308,"2013-06-25",57.679,63.689,98.418,100
"254",1308,"2013-06-26",60.818,79.963,56.7,100
"255",1308,"2013-06-27",57.117,93.045,32.852,100
"256",1308,"2013-06-28",64.247,102.265,17.375,88.151
"257",1308,"2013-06-29",66.344,104.617,22.595,69.811
"258",1308,"2013-06-30",67.028,100.308,27.883,75.037
"259",1308,"2013-07-01",58.455,102.569,25.746,92.906
"260",1308,"2013-07-02",59.616,98.773,33.107,87.102
"261",1308,"2013-07-03",56.988,95.088,36.313,94.793
"262",1308,"2013-07-04",64.589,101.962,18.986,77.522
"263",1308,"2013-07-05",56.426,88.81,32.265,80.672
"264",1308,"2013-07-06",52.772,82.085,43.477,94.692
"265",1308,"2013-07-07",51.413,83.601,40.466,94.686
"266",1308,"2013-07-08",51.678,86.029,38.133,97.758
"267",1308,"2013-07-09",50.664,94.419,18.954,99.552
"268",1308,"2013-07-10",49.914,87.847,29.023,96.714
"269",1308,"2013-07-11",49.338,82.753,36.572,97.97
"270",1308,"2013-07-12",51.721,82.708,39.468,96.416
"271",1308,"2013-07-13",47.959,87.757,25.765,97.498
"272",1308,"2013-07-14",48.538,86.119,34.056,97.613
"273",1308,"2013-07-15",49.782,74.813,47.341,97.685
"274",1308,"2013-07-16",52.335,72.007,56.351,97.287
"275",1308,"2013-07-17",50.18,84.094,40.578,96.853
"276",1308,"2013-07-18",50.223,90.194,31.493,99.607
"277",1308,"2013-07-19",48.583,93.897,29.659,97.929
"278",1308,"2013-07-20",49.338,95.088,30.965,95.043
