"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH","meanHrlyRH"
"1",1301,"2016-01-01",0.051,8.618,37.138,50.618,45.0906666666667
"2",1301,"2016-01-02",4.35,9.361,42.707,59.851,53.5729166666667
"3",1301,"2016-01-03",5.642,8.643,50.34,94.194,70.68375
"4",1301,"2016-01-04",5.591,9.558,88.222,100,96.8700208333333
"5",1301,"2016-01-05",6.306,9.706,99.434,100,99.9703541666667
"6",1301,"2016-01-06",4.506,7.695,98.577,100,99.92825
"7",1301,"2016-01-07",4.272,8.767,85.962,100,97.7052291666667
"8",1301,"2016-01-08",4.194,8.543,88.683,100,97.6949791666667
"9",1301,"2016-01-09",5.847,7.82,100,100,100
"10",1301,"2016-01-10",5.257,10.663,82.84,100,92.8497916666667
"11",1301,"2016-01-11",8.07,12.122,78.781,94.024,87.3985833333333
"12",1301,"2016-01-12",7.97,13.473,69.598,93.798,85.951
"13",1301,"2016-01-13",5.488,10.883,93.086,100,98.8443958333333
"14",1301,"2016-01-14",4.584,9.854,96.934,100,99.7071041666667
"15",1301,"2016-01-15",4.792,11.297,73.972,100,92.5447291666667
"16",1301,"2016-01-16",7.242,12.775,100,100,100
"17",1301,"2016-01-17",11.224,12.437,100,100,100
"18",1301,"2016-01-18",7.569,12.847,98.686,100,99.960125
"19",1301,"2016-01-19",7.192,13.497,93.631,100,99.2751041666667
"20",1301,"2016-01-20",6.509,13.497,71.39,100,90.2399166666667
"21",1301,"2016-01-21",9.287,14.122,76.099,99.899,83.4433541666667
"22",1301,"2016-01-22",8.519,12.775,99.984,100,99.9996666666667
"23",1301,"2016-01-23",6.509,11.297,93.658,100,99.1362708333333
"24",1301,"2016-01-24",5.308,11.321,76.522,100,93.625
"25",1301,"2016-01-25",7.293,12.292,95.894,100,99.4960833333333
"26",1301,"2016-01-26",6.458,13.161,95.88,100,99.5670625
"27",1301,"2016-01-27",6.661,16.296,61.201,100,85.0923958333333
"28",1301,"2016-01-28",8.419,13.786,75.056,100,94.323375
"29",1301,"2016-01-29",8.12,13.401,100,100,100
"30",1301,"2016-01-30",5.693,11.297,76.031,100,91.7515833333333
"31",1301,"2016-01-31",3.036,9.41,52.812,94.407,76.2966875
"32",1301,"2016-02-01",1.859,11.321,41.219,86.213,64.86925
"33",1301,"2016-02-02",3.301,9.903,68.135,100,86.4456875
